2022/09/20 16:26:25 [error] 6752#11808: *4 CreateFile() "C:/Projects/sample/assets/img/favicon.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /assets/img/favicon.png HTTP/1.1", host: "localhost:3003", referrer: "http://localhost:3003/"
2022/10/03 13:15:54 [error] 10160#5280: *426 access forbidden by rule, client: 127.0.0.1, server: localhost, request: "GET /services/index HTTP/1.1", host: "localhost:3003", referrer: "http://localhost:3003/about/index"
2022/10/03 13:29:14 [error] 10160#5280: *679 access forbidden by rule, client: 127.0.0.1, server: localhost, request: "GET /services/index HTTP/1.1", host: "localhost:3003", referrer: "http://localhost:3003/about/index"
2022/10/03 13:32:07 [error] 10160#5280: *692 access forbidden by rule, client: 127.0.0.1, server: localhost, request: "GET /services/index HTTP/1.1", host: "localhost:3003", referrer: "http://localhost:3003/about/index"
2022/10/03 13:32:08 [error] 10160#5280: *692 access forbidden by rule, client: 127.0.0.1, server: localhost, request: "GET /services/index HTTP/1.1", host: "localhost:3003", referrer: "http://localhost:3003/about/index"
2022/10/03 13:32:10 [error] 10160#5280: *693 access forbidden by rule, client: 127.0.0.1, server: localhost, request: "GET /services/index HTTP/1.1", host: "localhost:3003", referrer: "http://localhost:3003/about/index"
2022/10/03 13:32:49 [error] 10160#5280: *706 access forbidden by rule, client: 127.0.0.1, server: localhost, request: "GET /services/index HTTP/1.1", host: "localhost:3003", referrer: "http://localhost:3003/about/index"
2022/10/03 13:32:57 [error] 10160#5280: *706 access forbidden by rule, client: 127.0.0.1, server: localhost, request: "GET /services/index HTTP/1.1", host: "localhost:3003", referrer: "http://localhost:3003/portfolio/index"
2022/10/03 13:34:28 [error] 10160#5280: *757 access forbidden by rule, client: 127.0.0.1, server: localhost, request: "GET /services/index HTTP/1.1", host: "localhost:3003", referrer: "http://localhost:3003/portfolio/index"
2022/10/03 13:38:44 [error] 10160#5280: *803 access forbidden by rule, client: 127.0.0.1, server: localhost, request: "GET /services/index HTTP/1.1", host: "localhost:3003", referrer: "http://localhost:3003/index/index"
2022/10/03 13:39:25 [error] 10160#5280: *823 access forbidden by rule, client: 127.0.0.1, server: localhost, request: "GET /services/index HTTP/1.1", host: "localhost:3003", referrer: "http://localhost:3003/about/index"
2022/10/03 13:39:56 [error] 10160#5280: *823 access forbidden by rule, client: 127.0.0.1, server: localhost, request: "GET /services/index HTTP/1.1", host: "localhost:3003", referrer: "http://localhost:3003/contact/index"
2022/10/03 13:39:58 [error] 10160#5280: *814 access forbidden by rule, client: 127.0.0.1, server: localhost, request: "GET /services/index HTTP/1.1", host: "localhost:3003", referrer: "http://localhost:3003/contact/index"
2022/10/03 13:40:55 [error] 10160#5280: *814 access forbidden by rule, client: 127.0.0.1, server: localhost, request: "GET /services/index HTTP/1.1", host: "localhost:3003", referrer: "http://localhost:3003/contact/index"
2022/10/03 13:47:42 [error] 10160#5280: *961 access forbidden by rule, client: 127.0.0.1, server: localhost, request: "GET /services/index HTTP/1.1", host: "localhost:3003", referrer: "http://localhost:3003/contact/index"
2022/10/03 13:47:44 [error] 10160#5280: *961 access forbidden by rule, client: 127.0.0.1, server: localhost, request: "GET /services/index HTTP/1.1", host: "localhost:3003", referrer: "http://localhost:3003/contact/index"
2022/10/03 13:48:02 [error] 10160#5280: *961 access forbidden by rule, client: 127.0.0.1, server: localhost, request: "GET /services/index HTTP/1.1", host: "localhost:3003", referrer: "http://localhost:3003/contact/index"
2022/10/03 13:54:22 [error] 10160#5280: *975 access forbidden by rule, client: 127.0.0.1, server: localhost, request: "GET /services/ HTTP/1.1", host: "localhost:3003"
